지역명,연도,월,전용면적,평당분양가격
대전,2015.0,11.0,60㎡,8530.5
대전,2015.0,11.0,60㎡~85㎡,8012.4
대전,2015.0,11.0,85㎡~102㎡,8121.299999999999
울산,2015.0,11.0,모든면적,10041.9
울산,2015.0,11.0,60㎡,8527.199999999999
울산,2015.0,11.0,60㎡~85㎡,10058.4
울산,2015.0,11.0,85㎡~102㎡,8787.9
울산,2015.0,11.0,102㎡~,9484.199999999999
세종,2015.0,11.0,모든면적,8738.4
세종,2015.0,11.0,60㎡,8487.6
세종,2015.0,11.0,60㎡~85㎡,8797.8
세종,2015.0,11.0,85㎡~102㎡,8725.199999999999
세종,2015.0,11.0,102㎡~,9071.699999999999
강원,2015.0,11.0,모든면적,7164.299999999999
강원,2015.0,11.0,60㎡,7563.599999999999
강원,2015.0,11.0,60㎡~85㎡,7236.9
강원,2015.0,11.0,85㎡~102㎡,6801.299999999999
강원,2015.0,11.0,102㎡~,7164.299999999999
충북,2015.0,11.0,모든면적,6613.2
충북,2015.0,11.0,60㎡,6339.299999999999
충북,2015.0,11.0,60㎡~85㎡,6649.5
충북,2015.0,11.0,85㎡~102㎡,6164.4
충북,2015.0,11.0,102㎡~,7514.099999999999
충남,2015.0,11.0,모든면적,6930.0
충남,2015.0,11.0,60㎡,7306.2
충남,2015.0,11.0,60㎡~85㎡,6946.5
충남,2015.0,11.0,85㎡~102㎡,8325.9
충남,2015.0,11.0,102㎡~,8144.4
전북,2015.0,11.0,모든면적,6788.099999999999
전북,2015.0,11.0,60㎡,7025.7
전북,2015.0,11.0,60㎡~85㎡,6788.099999999999
전북,2015.0,11.0,85㎡~102㎡,7844.099999999999
전북,2015.0,11.0,102㎡~,7530.599999999999
전남,2015.0,11.0,모든면적,6299.7
전남,2015.0,11.0,60㎡,6596.7
전남,2015.0,11.0,60㎡~85㎡,6289.799999999999
전남,2015.0,11.0,85㎡~102㎡,7464.599999999999
전남,2015.0,11.0,102㎡~,7180.799999999999
경북,2015.0,11.0,모든면적,7227.0
경북,2015.0,11.0,60㎡,7293.0
경북,2015.0,11.0,60㎡~85㎡,7213.799999999999
경북,2015.0,11.0,85㎡~102㎡,8302.8
경북,2015.0,11.0,102㎡~,7821.0
경남,2015.0,11.0,모든면적,7583.4
경남,2015.0,11.0,60㎡,7260.0
경남,2015.0,11.0,60㎡~85㎡,7662.599999999999
경남,2015.0,11.0,85㎡~102㎡,9834.0
경남,2015.0,11.0,102㎡~,10041.9
제주,2015.0,11.0,모든면적,7365.599999999999
제주,2015.0,11.0,60㎡~85㎡,7342.5
제주,2015.0,11.0,85㎡~102㎡,8523.9
제주,2015.0,11.0,102㎡~,8494.199999999999
서울,2015.0,12.0,모든면적,19935.3
서울,2015.0,12.0,60㎡,20859.3
서울,2015.0,12.0,60㎡~85㎡,19687.8
서울,2015.0,12.0,85㎡~102㎡,21492.899999999998
서울,2015.0,12.0,102㎡~,21618.3
인천,2015.0,12.0,모든면적,10507.199999999999
인천,2015.0,12.0,60㎡,10982.4
인천,2015.0,12.0,60㎡~85㎡,10292.699999999999
인천,2015.0,12.0,85㎡~102㎡,11698.5
인천,2015.0,12.0,102㎡~,11246.4
경기,2015.0,12.0,모든면적,10553.4
경기,2015.0,12.0,60㎡,10866.9
경기,2015.0,12.0,60㎡~85㎡,10936.199999999999
경기,2015.0,12.0,85㎡~102㎡,11381.699999999999
경기,2015.0,12.0,102㎡~,12705.0
부산,2015.0,12.0,모든면적,10319.099999999999
부산,2015.0,12.0,60㎡,9738.3
부산,2015.0,12.0,60㎡~85㎡,10005.6
부산,2015.0,12.0,85㎡~102㎡,9758.1
부산,2015.0,12.0,102㎡~,12338.699999999999
대구,2015.0,12.0,모든면적,9774.6
대구,2015.0,12.0,60㎡,10830.599999999999
대구,2015.0,12.0,60㎡~85㎡,9804.3
대구,2015.0,12.0,85㎡~102㎡,8355.6
대구,2015.0,12.0,102㎡~,9051.9
광주,2015.0,12.0,모든면적,8170.799999999999
광주,2015.0,12.0,60㎡,7903.5
광주,2015.0,12.0,60㎡~85㎡,8213.699999999999
대전,2015.0,12.0,모든면적,8098.2
대전,2015.0,12.0,60㎡,8530.5
대전,2015.0,12.0,60㎡~85㎡,8012.4
대전,2015.0,12.0,85㎡~102㎡,8121.299999999999
울산,2015.0,12.0,모든면적,10041.9
울산,2015.0,12.0,60㎡,8527.199999999999
울산,2015.0,12.0,60㎡~85㎡,10058.4
울산,2015.0,12.0,85㎡~102㎡,8787.9
울산,2015.0,12.0,102㎡~,9484.199999999999
